codeswitch_sentence,languages
بعدين series b مثلا كان قبل ما انا اسوي raise seriesb بس عندهم كان ال series a,Saudi-English
اليوم صار فيه تضخم اليوم نشوف واحد يجمع seed,Saudi-English
seed round على خمسين مليون دولار في في امريكا يعني ممكن بشكل سريع بما انك جبت طاري هذي الاشياء للي ما يفهم هذي المصطلحات,Saudi-English
ايش يعني series seed round ولا series a ولا series b,Saudi-English
فيه seed round هو اول هو فيه ترا pre seed,Saudi-English
اول شيء ما قبل البذرة ما قبل البذرة وعادة تاخذ الفلوس من friends and family اهل واصدقاء الاهل واصدقاء حلو فيه ال seed,Saudi-English
ال seed غالبا اهل واصدقاء و angel investors يدخلوا فيه المستثمرين الجريئين,Saudi-English
حلو الملائكيين يسمون ايه بعدين ال csa هو مرحلة النمو,Saudi-English
يعني انت المفترض انه فال seed انت من ال seed الى ال a,Saudi-English
انت اثبت وجود mvb الفكرة حقتك والتركيز a النمو,Saudi-English
تستخدم فلوس عشان تبدا توسع ايه تبدا توسع تبدا تنطلق جغرافي حلو b تبدا مفروض انه extension لل a,Saudi-English
فانت تتطلع انها تتوسع مو بس جغرافي حتى فال rbo,Saudi-English
فال average per per user فال تضيف منتجات اضافية and so,Saudi-English
يكون pre exit او pre acquisition او pre ما قبل التخ ماقبل التخارج ايه او الطرح ممتاز هذا تعريف سريع عالجولات انت,Saudi-English
وكانت هدفها النمو yes و وبعدين تكلمنا على موضوع svc وتاثيرها الفين وثمانطعش,Saudi-English
الف وسبع مية مية الف وسبع مية sorry الفين والفين وثمانطعش ايه النمو صار two x يعني حنا ننمو,Saudi-English
عدد المطاعم و من عاد الش ال mrr طبعا احنا كا,Saudi-English
باء في covid في عشرين عشرين فعشرين عشرين كم كان حجمها عشرين مليون دولار تقريبا عشرين مليون دولار,Saudi-English
بقيادة رائد بقيادة رائد عفوا لا بقيادة سنابل سنابل و stv,Saudi-English
سنا سنابل و سنابل و stv في series b ok طبعا هي لها قصة انه,Saudi-English
اء اللي هي كيف بدات ال round انه,Saudi-English
يعني انا برضو وصلت لمرحلة ان ما عندي احد يعطيني term sheet ويسعر تقييم الشركة الا شخص شركة وحدة بس,Saudi-English
اسمها stv ايه ماكانت كل الصناديق الثانية ماعاد تعطي ماتعطينا شركة اكبر صارت من اللازم,Saudi-English
و و bridges عادة تعطي اء bridge,Saudi-English
im pitching و بس كيف الفكرة اني,Saudi-English
اني قبل ال هذا كنت اتواصل مع جماعة process اللي هو naspers اسمهم سابقا,Saudi-English
قالوا لي احمد احنا مبسوطين نبا نعطيك ال term sheet ولكن من شروطنا,Saudi-English
ونقابل physically الفريق الفريق وال founders تحديدا,Saudi-English
فجاة سمعوا قالوا انه ال team هون ما قدر يجي دبي لانه سمعنا انه فيه covid,Saudi-English
cases في دبي فاحنا مانقدر نجي قلت له طيب انا اجيك السعودية مافيها covid,Saudi-English
و وقت بدت فعلا العالم يطلع فعلا فيه covid,Saudi-English
والناس كلهم فال فالرياض يقولون يرجعون اهلي يقولون ارجع ترا بيقف الموضوع serious اقول ايش سي ماهو موضوع وفعلا وقتها كان فيه,Saudi-English
هنا عرفت ان الموضوع serious همم ونفس ال الجماعة هونوا يعني قالوا,Saudi-English
رحت عن طريق نيويورك عشان امن نفسي اني ادخل السعودية وخلاص فالوضع كان serious,Saudi-English
ما كان عندك الا stv ما عندي الا stv وفجاة طلعت لي سنابل سنابل توها تبدا تتحرك توها تبدا تتحرك وقتها,Saudi-English
اتوقع كان اول transaction احنا سواه معانا اء وبدينا نشتغل معاهم والحمدلله انه,Saudi-English
هنا ال انا دائما احب انه من تجربتي السابقة فال fundraising انه to create competition,Saudi-English
على ال ticket فتقول انت تب انت عارض مثلا عشرة مليون,Saudi-English
ال oversubscription هو اللي ارتفع الى عشرين فتعرض عشرة,Saudi-English
من ال اء يعني مستثمرين وتبدا تختار انت منهم وتبدا تاخذ ال terms وال evaluation اللي انت يناسبك,Saudi-English
وقتها ال delivery hero عطونا off term sheet,Saudi-English
وال delivery hero شركة كبيرة اء وتقييم عطونا تقييم حلو,Saudi-English
فا عرضت ال term sheet الى,Saudi-English
سنابل وسنابل they really match,Saudi-English
ال evaluation و وهنا هنا هنا شط هنا قوة الشركة,Saudi-English
فقفلتوا ال round في وقت covid في وقت covid april كان ولا تقريبا ايه yeah almost تقريبا وقتها ال evaluation كم صار,Saudi-English
حدود ال وقتها مية مية مية مليون مية مليون دولار yes yes,Saudi-English
اعلى شوي وبعدها صار فيه تطويرات على موضوع المنتج صح بعد الجولة هذي yes yes بديتوا تدخلون في fintech,Saudi-English
طبعا هدف foodics بديت يعني كنت we are pinching mark خلنا نقول with square,Saudi-English
فامريكا square تقارنون نفسكم ف square square payment وهنا اسمع انا انه صعب,Saudi-English
تاخذ رخصة من sama والموضوع ماهو سهل فا قلت وياخذ ال process سنة,Saudi-English
ناديت فريق ال product عندي قلت يا ابا واحد منكم سلمته المهمة,Saudi-English
ي يمسك ملف sama و sama ويقدم على الرخصة على امل انه السنة الجاية ناخذها,Saudi-English
بعد كذا ثلاث اسابيع دخل قال مبروك يا احمد عندنا اجتماع مع sama قلت له وش,Saudi-English
sama و تغير,Saudi-English
فعلا وهنا الفين وثلاث الفين وتسع طعش هو من يوم اطلاق ال sand boxing,Saudi-English
ودخلنا ال sand box طبعا رحنا عرضنا الحمد لله,Saudi-English
وقتها انا قفلت كل مشاريعي وكل اولوياتي واول اولوية اني اتعلم اتعلم وش هو ال fintech,Saudi-English
اتعلم ايش ال payment اتعلم وش ال البنوك ال banking system بديت اعين مستشارين اتكلم,Saudi-English
وفعلا الحمدلله دخلنا ال sand box و في عشرين عشرين,Saudi-English
اء مع في منتصف الجائحة اء البنك المركزي عطانا ال green light انه روح,Saudi-English
دوسوا وزعوا ال point of sale كان فيه initiatives انه to,Saudi-English
يمنعوا ال cash cashlees وتركز على,Saudi-English
على ال payment والحمدلله هذي فرصة كانت حلوة اخذناها للاستحواذ على العملاء,Saudi-English
فا فهذي دخلت ال ضمن ال foodics نعم اللي هي foodics pay نسميها الان,Saudi-English
foodis pay foodics pay foodics pay yes اللي هي يعني كيف طريقتها ok,Saudi-English
foodics الاساسي هو نظام ال casher نظام المطع المطعم ال مستودع وذا yeah فيه ااء,Saudi-English
ال ال ال plan فال road map انه ندخل في foodics pay نصير نقدم,Saudi-English
اء للعميل يصير خلاص one shop stop انه العميل ياخذ ال point of sale وياخذ,Saudi-English
اء اء نقاط البيع من عندنا اللي هو المدفوعات الرقمية وبعدين ياخذ قروض عن طريق foodics capital,Saudi-English
عنده foodics online يستقبل طلبات online ومع التوصيل وكل شيء فهذا هو كان الطموح من البداية,Saudi-English
عشرين عشرين جاء covid وما شاء الله جاء covid سويناها كلها فيوم سنة وحدة ما شاء الله ايه اليوم تقرضون عملاء نعم بدينا عندكم ترخيص انكم تقرضون لا حنا نشتغل مع اء مع,Saudi-English
ونقرض up to خمسة مليون ريال يعني عن طريق بعض الشركاء و و برضو بداتوا توسعون يعني انت كنت تقول,Saudi-English
في مقابلة عام الفين و واحد وعشرين انه foodics انطلقت من الخبر الى واحد وعشرين دولة حول العالم صحيح اليوم كم دولة انتم,Saudi-English
اليوم حنا ترا حول الاربعين دولة اربعين دولة فالعالم foodics ايه foodics نعم واكثر من سبعة لغات مش لغة وحدة فرنسية,Saudi-English
اء يعني الامور شوية تغيرت كا كا evaluation وكا potential بالضبط بالضبط فدخلتوا انتوا في موضوع الجولة الاخيرة هذي نعم,Saudi-English
اء وش اهم اللي حيختلف في foodics بعد هذي الجولة,Saudi-English
طبعا اء foodics pay الاساس هو ما هو بال بالنموذج اليوم قريبا ان شاء الله,Saudi-English
حنعلن عن يعني الصورة الحقيقية ل foodics pay,Saudi-English
اللي هي ال soft pos فيصير نفس ال tablet,Saudi-English
ال casher ل foodics هو يقبل الدفع فانت ما يحتاج عندك اجهزة اخرى ثانية,Saudi-English
على اساس تقبل الدفع وعملية الربط وال integrations وال ال rela ما يكون يعني,Saudi-English
فيه عندنا مدفوعات عالطاولة table payment انت تروح المطعم,Saudi-English
تجلس فالمطعم تبغى تدفع فاتورتك فيه qr code تنسخه تلاقي فاتورتك نفسها تدفعها,Saudi-English
بدل مايجي ال waiter بدل مايجي ال waiter تدفع وتمشي please excuse me عطني وجه مرة,Saudi-English
يعني يعني يستفزني ال waiter اللي ما يكون منتبه ايه صح فتقعد,Saudi-English
فزوجتي تقول لسا انا ما خلصت يعني يعني كانك قاعد تعجلني اقولها لالا عادي خذ راحتك بس خليني ادفع عشان متى ماقررنا نمشي نمشي نمشي نمشي بالضبط فلما يكون عندي barcode جنبي وادفع على طول بالضبط هذي بتكون شيء عظيم هذا واحد غيره,Saudi-English
ان ال waiter نفسه,Saudi-English
هذا رقم اثنين هذا رقم اثنين رقم ثلاثة ان نفس الد نفس ال application,Saudi-English
ال casher مع ال costumer display العرض وانت فال booking,Saudi-English
costumer تقدر تدفع من ال tablet نفسه بدون اعتمادية على اي جهاز اخر,Saudi-English
ال ال ال drive through and ال kiosk فالان foodics تقدم kiosk,Saudi-English
اء في اي مطعم فيه kiosk كامل في نفس ال kiosk تقدر تدفع,Saudi-English
تمر فال drive through اء اخذت الطلب من ال drive through تطلع جوالك,Saudi-English
ت scan qr code وتدفع,Saudi-English
كل يعني هذي hardware ذي بتصير ولا هذي كلها hardware و payment طبعا احنا الخدمة الج كل خدماتنا القادمة اليوم,Saudi-English
احنا راح نصنع our own hardware,Saudi-English
انه to control ال experience من a to z,Saudi-English
فاحنا مهتمين من ال hardware,Saudi-English
ومهتمين فال software المشكلة انه لقينا من تجربتنا السابقة فيه,Saudi-English
اء انطباع سيء ياخذه العميل مو بسببنا بسبب والله limitation موجودة عال hardware,Saudi-English
almost خمسة وعشرين الف خمسة وعشرين الف عميل همم بكامل بياناتهم موجودة عندكم صح ايش,Saudi-English
ايش ممكن نطلع ب trends او او ملاحظات او تحليل لهالبيانات تقدر تهديه,Saudi-English
لتطوير منتجات foodics,Saudi-English
ماهي اء خلنا نقول garbage in garbage out هذي دايما اقوله فاي نظام موجود,Saudi-English
تعطيه بيانات اء يعني غير صحيحة يعطيك outcome غير صحيح,Saudi-English
انا ودي والان بدينا بمرحلة والمرحلة تطوير هذي تحتاج وقت طويل ما machine learning يبغى لها وقت طويل,Saudi-English
فاحنا اليوم في مرحلة اء business intelligence phase,Saudi-English
اء نعرف وش اولويات وش ال pains اللي موجودة عشان نبدا,Saudi-English
نسلط الضوء عليها ونطورها فلسا مافيه الان اي trends معين انتم شايفينها فالفترة الماضية,Saudi-English
ال ال back end وال wastege اللي قاعد يصير فاليوم اك نكتشف وموجودين وشايفين فالبيانات انه,Saudi-English
فيه اء wastege هدر وهدر,Saudi-English
و fraud بعد وين في ال back end فال infantry فالجرد اه فالمخزون,Saudi-English
فال back end فال bo عمليات المشتريات,Saudi-English
نقدم خدمة ال suppliers نو اء,Saudi-English
اء يعني نعطي ال supplier المواد مواد ال ال,Saudi-English
المطعم لي المطعم direct عن طريق foodics supply نسميه,Saudi-English
فيه برضو بيانات اء ال menu engineering يعني اليوم,Saudi-English
يعني عندها اء يعني معلومات في ال menu,Saudi-English
ما ok فيه فيه report عندنا مشهور اسمه menu engineering,Saudi-English
ال menu engineering هذا يقيس لك ال frequency حق الطلب,Saudi-English
ويقيس لك ال cost وال trends,Saudi-English
المطع لان انت كل منتج فال menu,Saudi-English
وتخزنه بعدين ترميه الى wastege لو ما ما صرفته,Saudi-English
اء لو لو غيرت ال menu سويت لك bundling او بعض العروض,Saudi-English
خلنا نقول ال ال ال combos نسميها combos يعني تشتري هذا مع هذا,Saudi-English
هذي برضو عندنا smart engines الان بضغطة زر تقدر تعطيك المقترحات هل فيه مجالات يوم تقول شباب خلاص وقفوا,Saudi-English
تراها full وكل اللي فيها خسرانين,Saudi-English
yes هو شوف سر سر الطبخة مو بال ااء بس بجودة الطلب,Saudi-English
همم ال branding له يلعب ترا المستهلك السعودي مستهلك,Saudi-English
اء يحب يجرب ال trend الجديد ماهو loyal يعني لو تشوف مثلا في اوروبا,Saudi-English
اء الولاء عالي جدا ل brand معين صح,Saudi-English
ال margin فيه حلو,Saudi-English
يعني القهوة القهوة ايه عالي margin كبير جدا القهاوي هي احلى margins اء margin حلو رهيب نعم ومن الماكولات وش اعلى ال margin ما اء شوف ال ال ال اااء ok اء,Saudi-English
لازم تاخذ consideration اللي هو ال initial investment فانت لما تروح تسوي لك,Saudi-English
مطعم fine dine ال margins لو اخذتها بس على ال menu,Saudi-English
ايه ولكن حط عليها الخدمة وحط عليها صح فيطلع ونفس الشيء نفسه نفسه قبل ال head نشيل ال overhead وش ال,Saudi-English
توصية توصية ok طيب فا صعبة ن انا اتذكر قد سولفت معك على مين اكثر جهة,Saudi-English
ساهمت في نجاح foodics وكنت تقول لي البنك المركزي و وزارة الاستثمار صح ليش هالاثنين,Saudi-English
ال agility اللي كانت فيها وقتها يوم,Saudi-English
اول جولة اول جولة اول جولة csa,Saudi-English
اء واعطوا الرخص بسرعة للمستثمرين الامريكان يعني اول من دخل five hundred كانت start up وحدة منهم endeavor كان,Saudi-English
عرفونا على صراحة ال ecosystem,Saudi-English
اء صندوق الصناديق لا الدكتور مازن الزايدي اه ok اللي كان في وزارة الاس الاستثمار,Saudi-English
well connected مع ال مثلا vseed اللي برا اللي يبغوا يدخلوا السعودية فا,Saudi-English
كان اول ساعدوا في هذي النواحي كمان يعني كثير اول ناس فعلا سووا هالمبادرات ال initiative,Saudi-English
اء في الفين و الكلام هذا ترا من الفين وثمانطعش والفين وسبعطعش فهذي وزارة الاستثمار البنك المركزي البنك المركزي ماشاءالله يعني صراحة قصتهم لي فموضوع ال sand box وموضوع الترخيص بالضبط سريعين جدا برضو,Saudi-English
قطاع ماهو بسيط من ناحية ماهو البيع الفرا يعني ال cybersecurity هو,Saudi-English
وال liabilities وال compliance يعني ماهو وايضا انت ذكرت سنابل,Saudi-English
سنابل نعم اء انه كان لهم دور مهم في اللي وصلت له foodics,Saudi-English
صحيح من اي ناحية اء تعريف قلت لك انه سنابل اصلا هم يعني lp في اء,Saudi-English
في شركات ضخمة كبيرة vseed فالعالم فامريكا واوروبا وكذا,Saudi-English
و وساعدونا في ال connection introduce ولما كنا نروح we pitch ourself,Saudi-English
الشركة والسعودية لما يقولوا ok سنابل is in our cap table وهم وهم شاركوا في اخر جولة اخر جولة هم قادوها,Saudi-English
هم مع ال cv هم مع ال cv نعم اللي هي مية وسبعين مليون دولار تقريبا لا عفوا,Saudi-English
لا اللي قادوها كانوا process,Saudi-English
ومع سنابل مو ال cvs وهذي قيمة صراحة انتوا خلقتوها بانه جبتوا هذا المبلغ,Saudi-English
تسعين بالمية من تسعين بالمية من ال round تقريبا من برا,Saudi-English
يعني من sequoia,Saudi-English
و capital ومن من من process ماشاءالله yah وهذا يجعل valuation حق,Saudi-English
foodics كم non disclose الاولات قلتهم هذي والله اء يعني اتفقنا كمجلس ادارة انه ما تفصحون انه ما نفصح,Saudi-English
الامريكي نتكلم مع advisors و,Saudi-English
يعني الموضوع مو السنة هذي السنة الجاية لا who knows ما يعني احنا لسا قاعدين ندرس ونتعلم,Saudi-English
اء واللي يتواصل معك whatsapp غير سعودي,Saudi-English
في covid انه نقل جميع الموظفين الى السعودية كلهم موظفين الحمدلله سعوديين,Saudi-English
انه مناقشة score عندنا score اسمه nps net promoting score والحمدلله عالي ابشرك,Saudi-English
ال system يهنق او ما يهنق,Saudi-English
الثقافة فاحنا اطلقنا foodics academy اكاديمية foodics,Saudi-English
كان قلة دراية العميل بال industry فالمجال نفسه,Saudi-English
foodics academy هدفها تعليم الناس كيف ال operation يشتغل فالمطعم,Saudi-English
كيف ال casher يشتغل كا casher مو foodics casher كيف,Saudi-English
ال perception حقه في اغلاق نهاية اليوم ممنوع,Saudi-English
ترحل اليوم على اليوم اللي بعده كيف تسوي اغلاق محاسباتك وربطها مع نظام ال casher المحاسبي,Saudi-English
ال knowledge صارت نقل المعرفة اليوم foodics ماهو system بسيط system,Saudi-English
قلت لك deep deep knowledge,Saudi-English
فعشان ارفع ال ال خلني اقول ال product knowledge rate في كل موظف,Saudi-English
واخلي كل الموظفين نفس ال level فالتعليم,Saudi-English
اء صرنا اسسنا برضو اء program داخلي انه,Saudi-English
اء foodics اليوم قاعد يكبر لدرجة انه منتجات اضافية يعني مو منتج foodics الاساسي لا foodics,Saudi-English
اء منتجاته الاضافية foodics online foodics,Saudi-English
capital foodics pay و b,Saudi-English
ال complications وال features حقته,Saudi-English
بالاضافة الى ذلك انه foodics في كل,Saudi-English
quarter يطرح من اكثر من مئة features اضافية,Saudi-English
ذكرت مجموعة اسماء ومن ضمنهم مهندس احمد الزيني مؤسس شركة foodics,Saudi-English
ك كل كلنا في هال هال خلني اقول منظومة ال ال ريادة الاعمال we have to give back one point,Saudi-English
انشئت خلنا نقول indiver,Saudi-English
كيف انشئت indiver هي نفس تعا تعيد القصة اليوم وش قاعد يصير اليوم فالسعودية,Saudi-English
group من المس ال ال entrepreneurs اللي سووا exit,Saudi-English
اء يعني خلنا نقول احس انه فعلا فيه فيه يعني فيه potential كبير طبعا دائما اعيدها واقول انه,Saudi-English
اول يعني بداية تاسيسي ل foodics كنت فعلا اتوق اشوف,Saudi-English
فعلا دخلت فالمجال صح واخذت helicopter view او zoom out,Saudi-English
للتام ال total addressable market لاكثر من قطاع ترا السوق كبير,Saudi-English
واحد بالمية ترا من ال potential فال فال globe خلنا نقول ما اتكلم على العالمية,Saudi-English
نصيحتي الوحيدة انه ابني فعلا العالم يحتاج لبنائين builders,Saudi-English
اء يا كثر ال pre seed investors وال seed investors,Saudi-English
وال angel investors وال pre series a,Saudi-English
والفلوس بتجيك لاتركز على ال funding,Saudi-English
مش ال ال الغرض فالبناء مو انك تبني feature,Saudi-English
اء اء لوحة تحكم الطائرات اء airbus لا,Saudi-English
و وهذا يعني over all يعني هذا النصيحة اللي صراحة,Saudi-English
ما تبقى من رحلة foodics اللي توها توها تنطلق توها تنطلق الله يعطيك العافية تسلم شكرا لكم,Saudi-English
حياك الله ابو عبدالله ياه شرفتنا ونورتنا الله يسلمك يا ابو عبدالرحمن وشكرا لاستضافتي الله يسلمك bankers اخوين bankers وش دخلكم في قطاع المطاعم انت واسامة,Saudi-English
والبحرين ال bac وغيرها ودبي وابو ظبي,Saudi-English
و لاسيل في الدوحة في قطر فاثناء كان سفرنا تعرف السباقات تصير فال weekend في يوم لل practice يوم qualification بعدين يوم للسباق ثلاث ايام عادة,Saudi-English
ونروح مطعم اثناء احنا رايحين اصلا الى مهمة اخرى اللي هي ايه حقت السباق فتضرب عصفورين بحجر you enjoy,Saudi-English
demand طيب قلنا يا جماعة طب لما نسافر نص المطعم سعوديين,Saudi-English
الكحول فالمطعم فقلنا طيب خلونا يلا نفكر فافكار فكرنا في افكار كثيرة مضحكة يعني تضحك نرسل يترسل ال profile,Saudi-English
على سبيل المثال senior sassi الان اللي موجود عندنا,Saudi-English
يرد علينا انه ايش ال profile حقكم في ذاك الوقت ما عندنا profile,Saudi-English
كا شركة قائمة وعندها خبرة فال operation,Saudi-English
تذوق ok وهذا الشيء,Saudi-English
فا اغلبهم يردوا يقولوا والله ما نقدر هذا risk اننا نعطيك franchise,Saudi-English
وانت ماعندك operation expierence هذا مو بسيط,Saudi-English
اء انتوا كلمتوا senior sasi تقولي كلمتوا zuma بعد ارسلنا ل zuma ارسلنا ابو السعيد ولا وش اسم المطعم ابو السيد ابو السيد يعني zuma وابو السيد مختلفين ندور نبغى المطعم الفكرة عندنا شغف انه نروح مكان نطلع,Saudi-English
لا فيه غيرة انه ليش ليش لازم اسافر weekends عشان استمتع بمطعم,Saudi-English
ok واول ما اسوي احجز مطعم ابغى استمتع هنا فال weekend حقي انا فالرياض,Saudi-English
اء مطعم الى مطعم نوزومي في لندن هو single resturant في ذاق الوقت في beachamp place,Saudi-English
ااء مطعم نوزومي مطعم contemporary japanese وعنده nice music nice vibes ok وعنده اكل اء مطعم لاباس ما اقدر اقولك اكيد ما هو بزوما,Saudi-English
انه يعطي franchise,Saudi-English
يقضوا فترات طويلة فلندن يعرفوا nozomi beachamp place,Saudi-English
هذا الكلام عام هذا الكلام احدعش الفين واثنعش هذا احدعش تقريبا الفين واحدعش في الفين واحدعش الفين وعشرة ok,Saudi-English
الكلام هذا و وافقوا الجماعة وقلنا ok يلا franchise franchise,Saudi-English
مع بعض اتفقنا قلنا طيب فكرة والله نسوي nozomi الرياض نبدا ب nozomi الرياض نوقع nozomi على مستوى المملكة,Saudi-English
كا franchise اتفاقيتكم انه انتم تمثلون nozomi في كل السعودية franchise احنا franchisees وش اهم شروط هذا الوكالة,Saudi-English
طبعا احنا ما كان عندنا negotiation power في ذاك الوقت,Saudi-English
فكانت اول franchise agreement فاول شرط انه في مدة زمنية لازم تفتح فيها الفرع الاول بالضبط هل فيه عدد فروع الزمك فيها,Saudi-English
لالا كان ياخذ ايه ياخذ نسبة طبعا اء royal اللي هي royalty,Saudi-English
royalty كان ياخذ خمسة بعدين ترتفع لخمسة ونص بعدين ترتفع لستة بالمية على حسب تطور السنين من ايراداتك من من اجمالي الايرادات,Saudi-English
ربحان خسران موب مشكلتي ماله علاقة هو حياخذ خمسة بالمية من مبيعاتك من مبيعاتك بالضبط وياخذ انت قلتها bottomline ايوه لا هذي بعض ال franchise agreement الثانية,Saudi-English
ال entry fees هذا مرة وحدة one off,Saudi-English
هذي مرة وحدة ياخذ وكم عادة وبعدين ياخذ على كل فرع زيادة ياخذ entry fee مثلا انت فتحت,Saudi-English
ست مية الف دولار ست مية الف دولار ست مية الف دولار في ممتاز هذا هو ال structure هذا ال structure انتوا الثلاثة,Saudi-English
التوسع موب هوايتي ok فكنا احنا في خطط التوسع فقال لا اذا هي مطعم واحد ok اذا بتتوسعون انا اعطوني exit شلون اخترتوا هذاك المكان اللي بالنسبة لكثيرين,Saudi-English
ok وفعلا هو اول مطعم يفتح فشارع كان الشارع الحي هو شارع التحلية ا,Saudi-English
للامير محمد بن عبدالعزيز بس اغ اغلبه ما كان فيه مطاعم اغلبه cafes قهاوي,Saudi-English
وخفنا وفيه زحمة وزحمته ليست الزحمة اللي هي مرتادي المطاعم الفاخرة هي مرتادي ال cafes ولازم تنتبه فبالتالي فيه بعض الناس تتحاشى انها تمر في شارع التحلية عشان ما تدخل فالزحمة,Saudi-English
ok لمن قلنا الضباب ايش ال accessibility والله الطريق,Saudi-English
ففيه accessibility طريق شارع الثلاثين الامير سلطان,Saudi-English
اء طبعا في ذاك الوقت الايجارات في شارع الضباب ارخص فكانت فرصة انت تفكر في الايجار ما كان يعني ما كان هو فيه risk عالي وا وا الى اخره فا لقينا الموقع,Saudi-English
مو انه معناته انه هذا الموقع الوحيد رحنا اكثر من مكان,Saudi-English
وحدة من الاماكن اللي we approach على سبيل المثال سينتريا ok قبل شارع الضباب,Saudi-English
احنا مالنا علاقة فيها هي مواقف public او مواقف تابعة للمبنى مواقف انها موجودة فهذي كلها facilities استفدنا منها,Saudi-English
تاسيس الشركة وبعدين وقعنا الاتفاقية مع nozomi,Saudi-English
فتحنا اول مطعم اللي كان هو nozomi الرياض في سبتمبر الفين واربعطعش بس قصة التصميم هذي لازم تنقال,Saudi-English
ايه قصة التصميم هذي قصة اول شيء لحقنا التصميم حق nozomi لندن,Saudi-English
nozomi لندن يعني اذا كان رحت مو كثيرين اللي راحوه كان على off white على رمادي فاتح الفرش و و الى اخره سوينا التصميم المبدئي وسوينا ال rendering وكان فيه اول يوم presentation جالسين نتفرج,Saudi-English
طيب احنا we want to create the demand,Saudi-English
ال demand لا انت تفتعل ال demand وتبغى تسوي شيء عليه القيمة,Saudi-English
المهم قلنا لا ان شاءالله بتتقبل طالما انه احنا نشوفهم فالمطاعم برا ما من الطبيعي والعقل وال logic يقول انه بيجوا مطاعم عندك ما يتعنى يروح برا هذا الطبيعي صحيح,Saudi-English
كلمنا قلنا طيب خلينا ندور على مصمم ثاني دورنا دورنا طيب ايش المطعم اللي يعجبنا فعلا احنا ايش ال inspiring حقنا كان كمطعم ياباني zuma كا inspiration,Saudi-English
والله قلنا طيب خلنا ندور دورنا مين اللي يسوي zuma,Saudi-English
توصلنا الى استديو قليت من خلال انترنت ال search وكذا اتصلنا بنوري اء السعودية ok طيب اهلا وسهلا,Saudi-English
نبغى نسوي نصمم معاك ارسلنا له profile نوزومي نوزومي لندن كل الاشياء هذي,Saudi-English
انستقرام ok طيب اعرف نوزومي لندن fine طيب نبغى نسويه نبغاك تصمم لنا اياه,Saudi-English
قلنا له بس لكن نبغاك تاخذ فالاعتبار اشياء بسيطة بس انت كمصمم نعطيك ال requirements مساحة المطعم الف ومئة متر تقريبا,Saudi-English
مربع ترا عندنا قسم singles وقسم family,Saudi-English
طبعا فيه مترجم هو هو ما ما يتكلم انجليزي ياباني بحت وكانت فيه مترجمة يابانية معاه هي ال assestant هي اللي كانت تترجم,Saudi-English
يعني هي هي ماهي فاهمتنا كويس ولمن تترجم له فمانعرف وش قاعدة تترجم له بالضبط فا ماهو نقول family عندنا يعني المطعم قال كيف يعني,Saudi-English
single و family قالوا يعني لو جوه مجموعة single مع بعض قسم افراد وقسم عوائل وما المفروض انه يشوفه,Saudi-English
بس لو سيدات لوحدهم يدخلوا في قسم العوائل فهو اما couples او مجموعة سيدات ورجال مع بعض عائلة او سيدات لوحدهم هذا قسمهم,Saudi-English
فا جا فعلا فعلا little ما استوعب ال ال هذا طبعا زي ما اقولك فيه عام للترجمة اللي فالنص هذي كمان احنا ما نضمن كيف كانت مدى,Saudi-English
قلنا له ok بعدين قلنا له عندنا شيء ثاني احنا ماعندنا serving alcohol فممنوع عندنا فالمملكة وماعندنا هذا,Saudi-English
هذا المصمم قال انتم هذا single و waste of area بعدين family انا ماني فاهم بعدين تقولي مافيه drinks كيف مطعم زي نوزومي ولا زوما هو يربط زوما زوما مافيه drinks يعني ماتجي,Saudi-English
اء around فالمطاعم اللي موجودة فيه مطع فندق الفيصلية المطعم الايطالي اللي تحت لاكوتشينا اذا ماني غلطان كان اسمه,Saudi-English
ok وفيه مجموعة مطاعم,Saudi-English
فكان عشان يفهم قصة ال single وال family وعشان يفهم انه فيه مطعم ونتعشى فيه ومافيه كحول,Saudi-English
وديناه المطاعم بس عشان يفهم single و family ويفهم انه موضوع انه احنا its dry run ماعندنا dry resturant ماعندنا هذا ماعندنا فهم,Saudi-English
انه طيب لو ما جو singles,Saudi-English
بيجلس فاضي و family قلنا له احنا متفهمين وجهة نظرك كا designer لكن لازم نسوي هذا الشيء,Saudi-English
هذي ال المتطلبات هذي المتطلبات وانه لازم نسوي هالشيء بابين قلنا له بابين قال ليش بابين جنب بعض واحد لل singles واحد لل family قال طب هم الاثنين جنب بعض,Saudi-English
بالكبر هذا مسوين ال set up ومسوين live dj set up وال connections وال speakers عشان تعطيك,Saudi-English
sound system يعني كله ماخذينه فالاعتبار هذا كله ماخذينه فالاعتبار,Saudi-English
وال drinks ماحد كان يسوي احنا اول مطعم في ذاك الوقت اللي كان يسوي virgen mocktails اللي هي مو cocktails mocktails,Saudi-English
ok بدون كحول variety بانواع مرة كثير جايبين specialist و و الى اخره فا فا كان خطوة كبيرة ok,Saudi-English
والحمدلله توفقنا فتح المطعم الحمدلله حسب ال feasibilty حقتنا والاقبال احنا كنا very conservative كنا متحفظين جدا في دراستنا لانه,Saudi-English
كمان نكون منطقيين هذا اول مرة فالحمدلله كان افضل من توقعاتنا لما فتحنا المطعم وكان ال word of mouth تطلع,Saudi-English
والكلمة تطلع تنتشر لان في ذاك الوقت ال social media ما كانت منتشرة بالانتشار هذا ما كان فيه snapchat,Saudi-English
